YEARQ,IDHH,ICPSR,PANEL_ROT_GROUP
2020.1,1602014158353447564559137,9,37
2020.1,1602071958685392584549331,9,31
2020.1,1602071958685392584549331,9,31
2020.1,1602071965133498564549121,5,21
2020.1,1602073503395389564538237,5,37
2020.1,1602073992355333564544321,8,21
2020.1,1602073992355333564544321,8,21
2020.1,1602073992355333564544321,8,21
2020.1,1602073992355333564544321,8,21
2020.1,1602073992355333564544321,8,21
2020.1,1602073992355333564544321,8,21
2020.1,1602073992355333564544321,8,21
2020.1,1602091992688989565949137,8,37
2020.1,1602091992688989565949137,8,37
2020.1,1602095299024998565932121,8,21
2020.1,1602114184166487563859131,9,31
2020.1,1602140265131237564436127,7,27
2020.1,1602141325021253564434131,10,31
2020.1,1602141608399553564445111,4,11
2020.1,1602141615412834564445117,4,17
2020.1,1602141992682829564449431,18,31
2020.1,1602143515464433564438237,11,37
2020.1,1602144103689513564459127,6,27
2020.1,1602263958133275563244231,11,31
2020.1,1602316825491384563456121,3,21
2020.1,1602431308196318563434121,6,21
2020.1,1602431965688553563449231,11,31
2020.1,1602433592168559563459137,10,37
2020.1,1602436892196357563456127,7,27
2020.1,1602436892196357563456127,7,27
2020.1,1602471325022489563234117,2,17
2020.1,1602471399463231563234121,27,21
2020.1,1602471658193296563245127,8,27
2020.1,1602601915684429564449237,10,37
2020.1,1602611933352301565949131,15,31
2020.1,1602623925167050564944127,7,27
2020.1,1602624625131968564982111,3,11
2020.1,1602626858192147564956137,10,37
2020.1,1602626858192147564956137,10,37
2020.1,1602635208594588563832217,2,17
2020.1,1602641325411150563434111,4,11
2020.1,1602644692161190563482117,7,17
2020.1,1602703508365973563638137,10,37
2020.1,1602703508365973563638137,10,37
2020.1,1602703508365973563638137,10,37
2020.1,1602711603029746563645211,1,11
2020.1,1602711603029746563645211,1,11
2020.1,1602793999197670565656121,1,21
2020.1,1602860225136152568236111,3,11
2020.1,1602860292139480568236231,10,31
2020.1,1602860292139480568236231,10,31
2020.1,1602861658193676568245237,10,37
2020.1,1602861658193676568245237,10,37
2020.1,1602861933689444568249231,6,31
2020.1,1602863503399467568238127,7,27
